,generation,best_fitness,worst_fitness,feasible,average_fitness,std_fitness
38,38,5893.264357507677,26122160.725348666,True,-1211768.0929766835,4503369.320691343
39,39,5893.264357507677,115252779.59235409,True,-5677873.470283697,19033428.407651696
40,40,5893.264357507677,23513328.680981115,True,-679862.7578617589,3030181.3986718855
41,41,5864.330918367856,120077268.84509946,True,-2137953.9524938734,13024597.41760578
42,42,5837.533388262215,46677668.86477117,True,-1321670.2457883712,5874166.906464509
43,43,5837.533388262215,168108231.8029238,True,-3468116.2526723403,18362154.466709375
44,44,5837.080309277797,15282790.328133628,True,-385685.68603015656,1743365.0557651352
45,45,5837.068585169457,73059784.1164906,True,-3873523.209827459,13106039.856826583
46,46,5837.068585169457,32325747.30425276,True,-1105980.537143795,4699329.5411645835
47,47,5837.068585169457,23108882.499890186,True,-1051115.179177769,3573343.759143156
48,48,5836.940281381761,64724882.218410514,True,-1761737.4911479615,8638210.207136473
49,49,5836.805390051403,51551005.04168999,True,-3027521.15208553,10050754.832406497
50,50,5836.65133885314,103146783.32050863,True,-3904963.3557864865,13841937.495013257
51,51,5836.65133885314,161072496.5720068,True,-6504918.426787095,25730347.49681894
52,52,5781.730198522024,350085052.6392399,True,-7452819.064377107,38146576.188585915
53,53,5781.730198522024,76755920.03052911,True,-3110703.9866730915,11999234.02155498
54,54,5781.666862870283,132091823.82545874,True,-4897105.753242022,19989189.35296652
55,55,5781.657153993507,89610527.46304747,True,-2691946.0962112867,11833626.18277861
56,56,5781.657153993507,17139857.947074145,True,-595024.8382294648,2268063.6920197457
57,57,5779.751498164671,134029502.65730813,True,-4092166.3702198095,19743420.347652454
58,58,5766.9368270883215,77271701.78274035,True,-1068083.994039942,8120122.1296024285
59,59,5757.508518814302,66833027.74372946,True,-1749302.0428859405,8717344.012730513
60,60,5742.880084934028,131124896.73912717,True,-5774311.462345163,20217210.324546907
61,61,5742.7945605551795,45494846.619405404,True,-1307022.3056772824,5719942.377075509
62,62,5742.7945605551795,142478989.52309772,True,-5761270.061253153,23380403.26038354
63,63,5739.555203519412,106419048.5007198,True,-1797316.4352855692,11557795.304703068
64,64,5739.555203519412,136795290.60736242,True,-5436055.2292852495,23134513.243270643
65,65,5739.555203519412,58799080.590533115,True,-2520673.5408455622,8825971.317964096
66,66,5739.555203519412,91242175.691833,True,-3192896.279663928,12910024.522945823
67,67,5739.555203519412,83352446.67710778,True,-2730075.193435346,11132160.652570164
68,68,5739.555203519412,407415655.8626251,True,-7355701.2368846685,46589445.50628312
69,69,5731.349078707344,142687217.2097066,True,-3594218.4027528698,17072365.585771278
70,70,5731.349078707344,50217339.06853563,True,-1996812.1497514641,8052708.8141458435
71,71,5731.349078707344,109875697.32799272,True,-6776806.692644063,18219549.24863838
72,72,5731.349078707344,68919835.12942739,True,-1369746.9945228097,7443914.289796501
73,73,5731.349078707344,44482536.45179374,True,-1233114.088568898,6226720.085525918
74,74,5511.058903066887,64800711.40132468,True,-1141167.7525302307,6912756.363116232
75,75,5511.058903066887,64746635.573380396,True,-1723195.5403082604,7645792.881875446
76,76,5510.55868409208,69266181.84961271,True,-2201399.572682556,9583888.735369802
77,77,5465.977052192748,128891217.99417357,True,-4308098.052916574,16736222.414077591
78,78,5465.906459012234,83455042.64324999,True,-2565096.380256251,10568044.789864797
79,79,5465.900684209053,96245682.02730079,True,-1916143.997095936,10722274.812064996
80,80,5415.375777304509,75219374.23211192,True,-2898666.5967328018,10812307.057225222
81,81,5415.318722877844,168608330.42432502,True,-5563822.408390672,22437904.79075381
82,82,5415.318722877844,52094962.335103735,True,-1950782.0174946182,7989372.4223357625
83,83,5415.318722877844,151748828.4863056,True,-6735144.464546929,26284652.48874171
84,84,5415.318722877844,150505663.56690747,True,-3351503.55535161,17903811.83625637
85,85,5415.318722877844,60180763.78190851,True,-2113464.6988217975,7709189.3816945385
86,86,5415.318722877844,60180763.78190851,True,-2842448.929646222,10424310.32519894
87,87,5415.318722877844,75871503.66132393,True,-1995924.246121033,9561847.516675618
88,88,5415.318722877844,38279580.57001649,True,-1104907.5084506804,4714997.974413259
89,89,5415.318722877844,147700342.80732924,True,-6769678.103657373,23931063.76617536
90,90,5415.318722877844,178953482.93599117,True,-8354832.687411961,33769373.50647282
91,91,5415.318722877844,93903140.41210087,True,-3182582.405545879,12924507.131828126
92,92,5415.318722877844,10562981.549313802,True,-205411.01749828432,1159266.0767558173
93,93,5415.318722877844,178953482.93599117,True,-5398216.94024721,22187908.97797415
94,94,5319.50335484097,77878324.56236468,True,-2153781.770018102,10798742.682306403
